Time,mAU
16.93813333,-0.077068806
16.94298667,-0.076711178
16.94784,-0.076293945
16.95269333,-0.075757504
16.95754667,-0.075161457
16.9624,-0.074565411
16.96725333,-0.07379055
16.97210667,-0.073134899
16.97696,-0.072538853
16.98181333,-0.07212162
16.98666667,-0.072062016
16.99152,-0.07212162
16.99637333,-0.072360039
17.00122667,-0.072717667
17.00608,-0.072956085
17.01093333,-0.073075294
17.01578667,-0.072956085
17.02064,-0.072538853
17.02549333,-0.07212162
17.03034667,-0.071763992
17.0352,-0.071704388
17.04005333,-0.072062016
17.04490667,-0.072419643
17.04976,-0.072896481
17.05461333,-0.073194504
17.05946667,-0.073194504
17.06432,-0.07301569
17.06917333,-0.072598457
17.07402667,-0.072300434
17.07888,-0.072002411
17.08373333,-0.071644783
17.08858667,-0.071227551
17.09344,-0.070631504
17.09829333,-0.069737434
17.10314667,-0.068902969
17.108,-0.068068504
17.11285333,-0.067532063
17.11770667,-0.067651272
17.12256,-0.068187714
17.12741333,-0.069081783
17.13226667,-0.070214272
17.13712,-0.071227551
17.14197333,-0.071883202
17.14682667,-0.071942806
17.15168,-0.07134676
17.15653333,-0.070273876
17.16138667,-0.068843365
17.16624,-0.067591667
17.17109333,-0.066459179
17.17594667,-0.065803528
17.1808,-0.065386295
17.18565333,-0.065207481
17.19050667,-0.064969063
17.19536,-0.06455183
17.20021333,-0.064015388
17.20506667,-0.063240528
17.20992,-0.062465668
17.21477333,-0.062048435
17.21962667,-0.06210804
17.22448,-0.062763691
17.22933333,-0.063955784
17.23418667,-0.065565109
17.23904,-0.067293644
17.24389333,-0.069081783
17.24874667,-0.070631504
17.2536,-0.071942806
17.25845333,-0.072956085
17.26330667,-0.073611736
17.26816,-0.074088573
17.27301333,-0.074207783
17.27786667,-0.074148178
17.28272,-0.073671341
17.28757333,-0.072956085
17.29242667,-0.071883202
17.29728,-0.07045269
17.30213333,-0.068902969
17.30698667,-0.067472458
17.31184,-0.06633997
17.31669333,-0.065684319
17.32154667,-0.0654459
17.3264,-0.065684319
